id,title,url,created_at,category,reasons,suggested_fixes
27e870fbb2675050ae97,Azure AI Document Intelligenceの前処理：Word/Excelのルビ（ふりがな）を除去する,https://qiita.com/abachan/items/27e870fbb2675050ae97,2025-09-16T00:37:31+09:00,修正が必要,トピック数/形式の調整,"Zennのtopicsは最大5・半角英数とハイフンのみ。候補: python, windows, azure, documentintelligence"
2c7be86fb4e132598192,プロキシ環境下におけるAzure DevOps ReposへのGit接続エラー「fatal: unable to access」の原因と対処法,https://qiita.com/abachan/items/2c7be86fb4e132598192,2025-09-12T18:02:57+09:00,修正が必要,Qiita画像ホスティング / トピック数/形式の調整,"そのままでも表示可。GitHub連携で運用する場合は画像を保存して相対パスへ書換推奨 / Zennのtopicsは最大5・半角英数とハイフンのみ。候補: git, azure, devops, repos"
6cca3525e9e9d4a06445,Azure Functionsの専用（App Service）プランでEvent Hubsのトリガーが動作しなかった話と解決策,https://qiita.com/abachan/items/6cca3525e9e9d4a06445,2025-09-05T16:45:16+09:00,修正が必要,Qiita画像ホスティング / トピック数/形式の調整,"そのままでも表示可。GitHub連携で運用する場合は画像を保存して相対パスへ書換推奨 / Zennのtopicsは最大5・半角英数とハイフンのみ。候補: microsoft, azure, functions, alwayson"
0bef785983d6a3dba339,Azure AI Document Intelligence Freeプラン利用時の注意点,https://qiita.com/abachan/items/0bef785983d6a3dba339,2025-08-31T12:39:08+09:00,修正が必要,Qiita画像ホスティング / トピック数/形式の調整,"そのままでも表示可。GitHub連携で運用する場合は画像を保存して相対パスへ書換推奨 / Zennのtopicsは最大5・半角英数とハイフンのみ。候補: azure, ai, documentintelligence"
6b295fdda1e6798ba77c,Azure OpenAIでgpt-5をデプロイした時に少し混乱した話,https://qiita.com/abachan/items/6b295fdda1e6798ba77c,2025-08-30T11:39:07+09:00,修正が必要,Qiita画像ホスティング,そのままでも表示可。GitHub連携で運用する場合は画像を保存して相対パスへ書換推奨
12f9250d95f2239da9d5,Azure FunctionsでNode.js 22が遂にGA！,https://qiita.com/abachan/items/12f9250d95f2239da9d5,2025-08-24T22:55:50+09:00,修正が必要,トピック数/形式の調整,"Zennのtopicsは最大5・半角英数とハイフンのみ。候補: nodejs, microsoft, azure, functions"
fbd3dfd26dcce0dd360e,Azureで「誰が・いつ・どこで・何を・どう」操作したかを確認するには,https://qiita.com/abachan/items/fbd3dfd26dcce0dd360e,2025-08-19T17:31:49+09:00,修正が必要,Qiita画像ホスティング / トピック数/形式の調整,"そのままでも表示可。GitHub連携で運用する場合は画像を保存して相対パスへ書換推奨 / Zennのtopicsは最大5・半角英数とハイフンのみ。候補: microsoft, azure, activitylog"
1a537e4b073c7b588bd6,Azure OpenAI Serviceでgpt-5を利用するためのアクセス申請手順,https://qiita.com/abachan/items/1a537e4b073c7b588bd6,2025-08-18T12:47:58+09:00,修正が必要,Qiita画像ホスティング,そのままでも表示可。GitHub連携で運用する場合は画像を保存して相対パスへ書換推奨
76ce23066bac40d28698,Box Driveで「アップロードエラー」がしつこく表示される時の対処法,https://qiita.com/abachan/items/76ce23066bac40d28698,2025-08-13T16:40:54+09:00,修正が必要,Qiita画像ホスティング / トピック数/形式の調整,"そのままでも表示可。GitHub連携で運用する場合は画像を保存して相対パスへ書換推奨 / Zennのtopicsは最大5・半角英数とハイフンのみ。候補: windows, box, boxdrive"
b97137551d0bb3017f94,Teams起動時に「ffmpeg.dll が見つからない」エラーが毎回表示される問題の対処法,https://qiita.com/abachan/items/b97137551d0bb3017f94,2025-08-12T19:39:17+09:00,修正が必要,Qiita画像ホスティング / トピック数/形式の調整,"そのままでも表示可。GitHub連携で運用する場合は画像を保存して相対パスへ書換推奨 / Zennのtopicsは最大5・半角英数とハイフンのみ。候補: windows, ffmpeg, teams"
